profile,quantum,seed,algorithm,mean_waiting,mean_turnaround,mean_response,mean_slowdown,p95_waiting,max_waiting,makespan,utilization,throughput,context_switches,dispatches
batch,1,113,rr,434.84,458.16,12.0,20.543724124416723,545,545,583,1.0,0.04288164665523156,582,583
batch,1,113,priority,307.24,330.56,307.24,17.72578963669573,557,568,583,1.0,0.04288164665523156,24,25
batch,1,113,hrrn,220.6,243.92,220.6,8.95621869877392,508,545,583,1.0,0.04288164665523156,24,25
batch,1,114,fcfs,291.52,317.36,291.52,13.301246071765485,606,618,646,1.0,0.03869969040247678,24,25
batch,1,114,sjf,245.8,271.64,245.8,8.992244395606129,567,606,646,1.0,0.03869969040247678,24,25
batch,1,114,srtf,245.8,271.64,245.8,8.992244395606129,567,606,646,1.0,0.03869969040247678,24,25
batch,1,114,rr,484.36,510.2,12.0,20.58223399031678,606,606,646,1.0,0.03869969040247678,645,646
batch,1,114,priority,316.52,342.36,316.52,15.331885712673762,597,627,646,1.0,0.03869969040247678,24,25
batch,1,114,hrrn,246.6,272.44,246.6,9.106762426594747,567,606,646,1.0,0.03869969040247678,24,25
batch,1,115,fcfs,303.76,329.84,303.76,14.377921892863816,597,615,652,1.0,0.03834355828220859,24,25
batch,1,115,sjf,248.4,274.48,248.4,8.986306215906684,574,612,652,1.0,0.03834355828220859,24,25
batch,1,115,srtf,248.4,274.48,248.4,8.986306215906684,574,612,652,1.0,0.03834355828220859,24,25
batch,1,115,rr,490.16,516.24,12.0,20.625068529799748,611,612,652,1.0,0.03834355828220859,649,652
batch,1,115,priority,293.72,319.8,293.72,13.226103298192374,592,619,652,1.0,0.03834355828220859,24,25
batch,1,115,hrrn,260.4,286.48,260.4,10.007374984775876,575,612,652,1.0,0.03834355828220859,24,25
batch,1,116,fcfs,301.04,324.48,301.04,16.921624108075353,546,568,586,1.0,0.042662116040955635,24,25
batch,1,116,sjf,214.68,238.12,214.68,8.666651503140365,506,546,586,1.0,0.042662116040955635,24,25
batch,1,116,srtf,214.68,238.12,214.68,8.666651503140365,506,546,586,1.0,0.042662116040955635,24,25
batch,1,116,rr,424.32,447.76,12.0,20.315163711552344,545,546,586,1.0,0.042662116040955635,585,586
batch,1,116,priority,273.2,296.64,273.2,14.349844893559945,546,570,586,1.0,0.042662116040955635,24,25
batch,1,116,hrrn,227.64,251.08,227.64,9.870728661512613,506,546,586,1.0,0.042662116040955635,24,25
batch,1,117,fcfs,283.88,307.52,283.88,15.241391191598586,552,581,591,1.0,0.04230118443316413,24,25
batch,1,117,sjf,225.68,249.32,225.68,9.150529690226286,513,551,591,1.0,0.04230118443316413,24,25
batch,1,117,srtf,225.68,249.32,225.68,9.150529690226286,513,551,591,1.0,0.04230118443316413,24,25
batch,1,117,rr,445.12,468.76,12.0,20.81792098420648,551,551,591,1.0,0.04230118443316413,589,591
batch,1,117,priority,281.2,304.84,281.2,14.492592324543228,549,562,591,1.0,0.04230118443316413,24,25
batch,1,117,hrrn,226.56,250.2,226.56,9.272506850321093,513,551,591,1.0,0.04230118443316413,24,25
batch,1,118,fcfs,329.16,356.68,329.16,14.65351326161063,635,651,688,1.0,0.036337209302325583,24,25
batch,1,118,sjf,272.52,300.04,272.52,9.49830531999262,611,649,688,1.0,0.036337209302325583,24,25
batch,1,118,srtf,272.52,300.04,272.52,9.49830531999262,611,649,688,1.0,0.036337209302325583,24,25
batch,1,118,rr,538.76,566.28,12.0,21.20923897167321,649,649,688,1.0,0.036337209302325583,687,688
batch,1,118,priority,340.36,367.88,340.36,15.42671518531618,640,654,688,1.0,0.036337209302325583,24,25
batch,1,118,hrrn,278.44,305.96,278.44,10.02012622263379,611,649,688,1.0,0.036337209302325583,24,25
batch,1,119,fcfs,332.68,359.8,332.68,15.632729855976883,629,651,678,1.0,0.03687315634218289,24,25
batch,1,119,sjf,258.48,285.6,258.48,9.012675232291631,598,638,678,1.0,0.03687315634218289,24,25
batch,1,119,srtf,258.48,285.6,258.48,9.012675232291631,598,638,678,1.0,0.03687315634218289,24,25
batch,1,119,rr,511.08,538.2,12.0,20.695952612456658,637,638,678,1.0,0.03687315634218289,677,678
batch,1,119,priority,323.36,350.48,323.36,14.639407259218803,616,651,678,1.0,0.03687315634218289,24,25
batch,1,119,hrrn,270.44,297.56,270.44,9.995499890899222,598,638,678,1.0,0.03687315634218289,24,25
batch,3,100,fcfs,303.44,328.08,303.44,15.752998653252403,587,601,616,1.0,0.040584415584415584,24,25
batch,3,100,sjf,231.44,256.08,231.44,8.986705902680407,536,576,616,1.0,0.040584415584415584,24,25
batch,3,100,srtf,231.44,256.08,231.44,8.986705902680407,536,576,616,1.0,0.040584415584415584,24,25
batch,3,100,rr,452.76,477.4,36.0,20.41419294414358,576,576,616,1.0,0.040584415584415584,211,212
batch,3,100,priority,300.88,325.52,300.88,15.495475739082554,579,602,616,1.0,0.040584415584415584,24,25
batch,3,100,hrrn,231.52,256.16,231.52,8.999086855061359,536,576,616,1.0,0.040584415584415584,24,25
batch,3,101,fcfs,291.88,315.16,291.88,15.58263459852031,543,565,582,1.0,0.0429553264604811,24,25
batch,3,101,sjf,223.8,247.08,223.8,9.254516885869679,504,543,582,1.0,0.0429553264604811,24,25
batch,3,101,srtf,223.8,247.08,223.8,9.254516885869679,504,543,582,1.0,0.0429553264604811,24,25
batch,3,101,rr,442.2,465.48,36.0,20.854443170348887,542,543,582,1.0,0.0429553264604811,202,203
batch,3,101,priority,268.24,291.52,268.24,13.796433480333157,536,552,582,1.0,0.0429553264604811,24,25
batch,3,101,hrrn,230.08,253.36,230.08,9.878321068728592,504,543,582,1.0,0.0429553264604811,24,25
batch,3,102,fcfs,300.48,326.4,300.48,13.094725143192568,600,631,648,1.0,0.038580246913580245,24,25
batch,3,102,sjf,263.12,289.04,263.12,9.852205326942254,574,610,648,1.0,0.038580246913580245,24,25
batch,3,102,srtf,263.12,289.04,263.12,9.852205326942254,574,610,648,1.0,0.038580246913580245,24,25
batch,3,102,rr,513.12,539.04,36.0,21.15887085491602,610,610,648,1.0,0.038580246913580245,221,222
batch,3,102,priority,318.32,344.24,318.32,14.526308147088148,606,631,648,1.0,0.038580246913580245,24,25
batch,3,102,hrrn,263.2,289.12,263.2,9.864586279323207,574,610,648,1.0,0.038580246913580245,24,25
batch,3,103,fcfs,359.2,388.16,359.2,15.513142526221692,656,684,724,1.0,0.034530386740331494,24,25
batch,3,103,sjf,289.48,318.44,289.48,9.581898204683691,644,684,724,1.0,0.034530386740331494,24,25
batch,3,103,srtf,289.48,318.44,289.48,9.581898204683691,644,684,724,1.0,0.034530386740331494,24,25
batch,3,103,rr,573.88,602.84,36.0,21.38382867963607,683,684,724,1.0,0.034530386740331494,249,250
batch,3,103,priority,339.44,368.4,339.44,13.954891322055945,650,684,724,1.0,0.034530386740331494,24,25
batch,3,103,hrrn,294.32,323.28,294.32,10.022615952238082,644,684,724,1.0,0.034530386740331494,24,25
batch,3,104,fcfs,327.0,353.28,327.0,16.793790300398996,586,621,657,1.0,0.0380517503805175,24,25
batch,3,104,sjf,243.28,269.56,243.28,8.638004525526265,577,617,657,1.0,0.0380517503805175,24,25
batch,3,104,srtf,243.28,269.56,243.28,8.638004525526265,577,617,657,1.0,0.0380517503805175,24,25
batch,3,104,rr,482.56,508.84,36.0,20.480130835956924,617,618,657,1.0,0.0380517503805175,227,228
batch,3,104,priority,313.04,339.32,313.04,15.271867218649827,609,646,657,1.0,0.0380517503805175,24,25
batch,3,104,hrrn,257.0,283.28,257.0,9.836348608696435,578,617,657,1.0,0.0380517503805175,24,25
batch,3,105,fcfs,331.24,360.12,331.24,13.911396960701316,646,682,722,1.0,0.03462603878116344,24,25
batch,3,105,sjf,279.08,307.96,279.08,9.140608468469209,642,682,722,1.0,0.03462603878116344,24,25
batch,3,105,srtf,279.08,307.96,279.08,9.140608468469209,642,682,722,1.0,0.03462603878116344,24,25
batch,3,105,rr,546.2,575.08,36.0,20.59192093185654,681,682,722,1.0,0.03462603878116344,248,249
batch,3,105,priority,335.88,364.76,335.88,14.099396527684448,652,686,722,1.0,0.03462603878116344,24,25
batch,3,105,hrrn,288.56,317.44,288.56,9.93000635933031,642,682,722,1.0,0.03462603878116344,24,25
batch,3,106,fcfs,290.6,313.12,290.6,16.804228080399135,520,544,563,1.0,0.04440497335701599,24,25
batch,3,106,sjf,207.28,229.8,207.28,8.765301023537866,487,523,563,1.0,0.04440497335701599,24,25
batch,3,106,srtf,207.28,229.8,207.28,8.765301023537866,487,523,563,1.0,0.04440497335701599,24,25
batch,3,106,rr,409.16,431.68,36.0,20.403493104848366,523,524,563,1.0,0.04440497335701599,192,194
batch,3,106,priority,264.44,286.96,264.44,14.615956299548404,520,544,563,1.0,0.04440497335701599,24,25
batch,3,106,hrrn,217.52,240.04,217.52,9.780259865865128,487,523,563,1.0,0.04440497335701599,24,25
batch,3,107,fcfs,304.12,326.92,304.12,18.150629477493133,539,551,570,1.0,0.043859649122807015,24,25
batch,3,107,sjf,211.72,234.52,211.72,8.91985091760268,491,530,570,1.0,0.043859649122807015,24,25
batch,3,107,srtf,211.72,234.52,211.72,8.91985091760268,491,530,570,1.0,0.043859649122807015,24,25
batch,3,107,rr,419.68,442.48,36.0,20.671703598620194,530,530,570,1.0,0.043859649122807015,197,198
batch,3,107,priority,274.88,297.68,274.88,15.199772051514923,519,558,570,1.0,0.043859649122807015,24,25
batch,3,107,hrrn,212.76,235.56,212.76,9.06376548342901,491,530,570,1.0,0.043859649122807015,24,25
batch,3,108,fcfs,280.24,304.32,280.24,14.887793517456055,551,563,602,1.0,0.04152823920265781,24,25
batch,3,108,sjf,218.0,242.08,218.0,8.68055458164127,524,563,602,1.0,0.04152823920265781,24,25
batch,3,108,srtf,218.0,242.08,218.0,8.68055458164127,524,563,602,1.0,0.04152823920265781,24,25
batch,3,108,rr,429.44,453.52,36.0,20.30902002074293,560,563,602,1.0,0.04152823920265781,208,209
batch,3,108,priority,268.12,292.2,268.12,13.867853709585908,530,563,602,1.0,0.04152823920265781,24,25
batch,3,108,hrrn,218.32,242.4,218.32,8.73073107181776,524,563,602,1.0,0.04152823920265781,24,25
batch,3,109,fcfs,310.96,336.48,310.96,15.155771305927384,602,623,638,1.0,0.03918495297805643,24,25
batch,3,109,sjf,244.28,269.8,244.28,9.125539698857303,559,598,638,1.0,0.03918495297805643,24,25
batch,3,109,srtf,244.28,269.8,244.28,9.125539698857303,559,598,638,1.0,0.03918495297805643,24,25
batch,3,109,rr,478.16,503.68,36.0,20.584673640871465,598,599,638,1.0,0.03918495297805643,217,218
batch,3,109,priority,301.04,326.56,301.04,14.376540901727836,586,624,638,1.0,0.03918495297805643,24,25
batch,3,109,hrrn,245.16,270.68,245.16,9.240670345987951,559,598,638,1.0,0.03918495297805643,24,25
batch,3,110,fcfs,335.8,362.08,335.8,16.07021727180653,617,640,657,1.0,0.0380517503805175,24,25
batch,3,110,sjf,257.56,283.84,257.56,9.426801303177262,578,617,657,1.0,0.0380517503805175,24,25
